wwtp,day_index,sim,part.class,threshold_mode,hourly_settle_exposure_HRT,daily_settle_exposure_HRT,hourly_resusp_exposure_HRT,daily_resusp_exposure_HRT,difference_settle_hourly_minus_daily,difference_resusp_hourly_minus_daily
north,5,1,5,midpoint,0.9433118795121788,0.9443653426483523,0.0165712754258101,0.01641198871486918,-0.0010534631361734936,1.5928671094091879e-4
north,5,1,6,midpoint,0.9647429270427471,0.965153744773814,0.008705642608141268,0.008655834102564331,-4.1081773106688146e-4,4.980850557693636e-5
north,5,1,7,midpoint,0.9723882271302025,0.9724563053960797,0.002672269128917288,0.0023009150120894737,-6.80782658772916e-5,3.713541168278143e-4
north,5,1,8,midpoint,0.9778481177617373,0.9781462064416776,0,0,-2.980886799403004e-4,0
north,6,1,1,midpoint,0.6377601702001391,0.6150490140310163,0.31127079624515136,0.32221823198664806,0.02271115616912278,-0.010947435741496703
north,6,1,2,midpoint,0.7434898513671803,0.7312886809842335,0.2408820752067362,0.24980388789894506,0.012201170382946769,-0.008921812692208847
north,6,1,3,midpoint,0.8218249725833461,0.8161281832730667,0.07025789491749528,0.06856251723136955,0.005696789310279393,0.0016953776861257236
north,6,1,4,midpoint,0.8875361847330215,0.8877888966537822,0.030322594973457854,0.03019368432825228,-2.527119207607065e-4,1.2891064520557244e-4
north,6,1,5,midpoint,0.9440072877809367,0.9447950594051829,0.01637006825427926,0.016146464637390872,-7.877716242462585e-4,2.236036168883869e-4
north,6,1,6,midpoint,0.9650198797024794,0.9654308279859807,0.008574572534435948,0.008483684829069171,-4.109482835013001e-4,9.08877053667767e-5
north,6,1,7,midpoint,0.9725155702993361,0.972852466251054,0.0026120821948958668,0.002096182214918385,-3.368959517179304e-4,5.158999799774818e-4
north,6,1,8,midpoint,0.9780915839289557,0.9784650575216207,0,0,-3.734735926650412e-4,0
south,1,1,1,midpoint,0.7505324576636386,0.7369175800398045,0.22570843922010925,0.2396807933873432,0.013614877623834176,-0.013972354167233941
south,1,1,2,midpoint,0.7995053650372006,0.7888131632044492,0.19301580509137972,0.20122406058168935,0.010692201832751436,-0.008208255490309624
south,1,1,3,midpoint,0.8357822324670322,0.8265402187031842,0.10822421012538397,0.10967468827415115,0.009242013763848034,-0.0014504781487671842
south,1,1,4,midpoint,0.8676552596789122,0.8640334776579617,0.06870505085440536,0.0687367542213678,0.003621782020950537,-3.170336696244058e-5
south,1,1,5,midpoint,0.9027002762678344,0.9014280454182574,0.04769901942686512,0.047116500937736304,0.0012722308495770607,5.825184891288179e-4
south,1,1,6,midpoint,0.924836490804817,0.9252090210577353,0.028256630583879956,0.028297146401681086,-3.7253025291827946e-4,-4.051581780113028e-5
south,1,1,7,midpoint,0.935096978817413,0.9346545204681903,0.007794749728290964,0.00631484081162355,4.4245834922274074e-4,0.0014799089166674141
south,1,1,8,midpoint,0.9431436127818312,0.9432661896798468,0,0,-1.2257689801553617e-4,0
south,2,1,1,midpoint,0.753408390677401,0.7408117059617088,0.2232556135063113,0.2368396399848395,0.012596684715692197,-0.013584026478528216
south,2,1,2,midpoint,0.8017343646736548,0.7926897148488142,0.19092298731328153,0.19766193442064897,0.009044649824840545,-0.006738947107367443
south,2,1,3,midpoint,0.8374260045796087,0.8283313986615766,0.10708179925069329,0.10842960099313767,0.009094605918032128,-0.0013478017424443794
south,2,1,4,midpoint,0.8691555048607698,0.8654324116875108,0.06801765249671297,0.06812923436695605,0.003723093173258918,-1.1158187024307153e-4
south,2,1,5,midpoint,0.9037760229572573,0.9025224106615307,0.047181713969657445,0.046597390125871274,0.001253612295726625,5.843238437861706e-4
south,2,1,6,midpoint,0.9256003634420935,0.9258743266539223,0.02791033504689641,0.0278659643884862,-2.7396321182882044e-4,4.437065841020674e-5
south,2,1,7,midpoint,0.935747880401914,0.9351321826793884,0.007709978986392199,0.006311335297710823,6.156977225256766e-4,0.0013986436886813756
south,2,1,8,midpoint,0.9437231327354642,0.9439280139545375,0,0,-2.0488121907336065e-4,0
south,3,1,1,midpoint,0.752969053317319,0.7378862036715346,0.2238543415063536,0.23701991461662109,0.015082849645784435,-0.013165573110267476
south,3,1,2,midpoint,0.8012928360192861,0.7916362856509754,0.19135302407990173,0.1970762714116266,0.009656550368310701,-0.005723247331724857
south,3,1,3,midpoint,0.8372197921011835,0.8291000500454899,0.10743163608994323,0.10855556450898421,0.008119742055693546,-0.0011239284190409787
south,3,1,4,midpoint,0.8688007229418433,0.8651507985944848,0.0681194442696308,0.06822470413024304,0.0036499243473584464,-1.052598606122307e-4
