wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
south,5,17,10861,Pipe,0.8500000000000001,0.9,0.875
south,4,11,3720,Pipe,0.55,0.6000000000000001,0.5750000000000001
south,2,8,3430,Pipe,0.4,0.45,0.42500000000000004
south,3,18,7773,Pipe,0.9,0.9500000000000001,0.925
south,3,4,4551,Pipe,0.2,0.25,0.225
south,4,13,4143,Pipe,0.65,0.7000000000000001,0.675
south,5,7,3897,Pipe,0.35000000000000003,0.4,0.375
south,2,5,4116,Pipe,0.25,0.30000000000000004,0.275
south,1,9,3020,Pipe,0.45,0.5,0.47500000000000003
south,6,1,2289,Pipe,0.05,0.1,0.07500000000000001
west,1,2,6810,Pipe,0.1,0.15000000000000002,0.125
west,2,16,4872,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,2,14,3603,Pipe,0.7000000000000001,0.75,0.7250000000000001
north,7,6,10025,Pipe,0.30000000000000004,0.35000000000000003,0.325
north,8,13,9767,Pipe,0.65,0.7000000000000001,0.675
south,5,2,5456,Pipe,0.1,0.15000000000000002,0.125
south,6,6,2832,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,7,16,3639,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,6,7,2875,Pipe,0.35000000000000003,0.4,0.375
south,7,9,1504,Pipe,0.45,0.5,0.47500000000000003
south,4,2,4653,Pipe,0.1,0.15000000000000002,0.125
south,5,4,4546,Pipe,0.2,0.25,0.225
south,1,1,9174,Pipe,0.05,0.1,0.07500000000000001
south,2,13,3633,Pipe,0.65,0.7000000000000001,0.675
south,1,12,2664,Pipe,0.6000000000000001,0.65,0.625
south,2,9,3265,Pipe,0.45,0.5,0.47500000000000003
south,5,11,4770,Pipe,0.55,0.6000000000000001,0.5750000000000001
south,1,4,4470,Pipe,0.2,0.25,0.225
south,4,4,3787,Pipe,0.2,0.25,0.225
west,6,1,917,Pipe,0.05,0.1,0.07500000000000001
west,7,14,1093,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,6,3,1025,Pipe,0.15000000000000002,0.2,0.17500000000000002
west,7,6,680,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,5,16,8384,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,7,15,2855,Pipe,0.75,0.8,0.775
south,6,16,5514,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,4,17,8363,Pipe,0.8500000000000001,0.9,0.875
south,5,8,4182,Pipe,0.4,0.45,0.42500000000000004
south,6,12,3901,Pipe,0.6000000000000001,0.65,0.625
south,3,14,4037,Pipe,0.7000000000000001,0.75,0.7250000000000001
