wwtp,bin,count,bin_left,bin_right,bin_mid,mean_value,median_value,scenario
north,8,72922,0.4,0.45,0.42500000000000004,0.20983059322244638,0.13292992414369076,Highly Skewed
north,3,535239,0.15000000000000002,0.2,0.17500000000000002,0.20983059322244638,0.13292992414369076,Highly Skewed
north,11,46614,0.55,0.6000000000000001,0.5750000000000001,0.20983059322244638,0.13292992414369076,Highly Skewed
north,19,94009,0.9500000000000001,1,0.9750000000000001,0.20983059322244638,0.13292992414369076,Highly Skewed
north,5,145544,0.25,0.30000000000000004,0.275,0.20983059322244638,0.13292992414369076,Highly Skewed
north,6,97942,0.30000000000000004,0.35000000000000003,0.325,0.20983059322244638,0.13292992414369076,Highly Skewed
north,7,84300,0.35000000000000003,0.4,0.375,0.20983059322244638,0.13292992414369076,Highly Skewed
north,0,140865,0,0.05,0.025,0.20983059322244638,0.13292992414369076,Highly Skewed
north,17,31299,0.8500000000000001,0.9,0.875,0.20983059322244638,0.13292992414369076,Highly Skewed
north,18,27953,0.9,0.9500000000000001,0.925,0.20983059322244638,0.13292992414369076,Highly Skewed
north,9,65459,0.45,0.5,0.47500000000000003,0.20983059322244638,0.13292992414369076,Highly Skewed
north,15,40270,0.75,0.8,0.775,0.20983059322244638,0.13292992414369076,Highly Skewed
north,13,39637,0.65,0.7000000000000001,0.675,0.20983059322244638,0.13292992414369076,Highly Skewed
north,10,56851,0.5,0.55,0.525,0.20983059322244638,0.13292992414369076,Highly Skewed
north,14,39389,0.7000000000000001,0.75,0.7250000000000001,0.20983059322244638,0.13292992414369076,Highly Skewed
north,16,34242,0.8,0.8500000000000001,0.8250000000000001,0.20983059322244638,0.13292992414369076,Highly Skewed
north,12,42984,0.6000000000000001,0.65,0.625,0.20983059322244638,0.13292992414369076,Highly Skewed
south,0,635035,0,0.05,0.025,0.1248917310436701,0.03880004080915678,Highly Skewed
south,10,11133,0.5,0.55,0.525,0.1248917310436701,0.03880004080915678,Highly Skewed
south,3,66704,0.15000000000000002,0.2,0.17500000000000002,0.1248917310436701,0.03880004080915678,Highly Skewed
south,12,8307,0.6000000000000001,0.65,0.625,0.1248917310436701,0.03880004080915678,Highly Skewed
south,9,11118,0.45,0.5,0.47500000000000003,0.1248917310436701,0.03880004080915678,Highly Skewed
south,19,17591,0.9500000000000001,1,0.9750000000000001,0.1248917310436701,0.03880004080915678,Highly Skewed
south,1,81151,0.05,0.1,0.07500000000000001,0.1248917310436701,0.03880004080915678,Highly Skewed
south,8,10062,0.4,0.45,0.42500000000000004,0.1248917310436701,0.03880004080915678,Highly Skewed
south,6,11458,0.30000000000000004,0.35000000000000003,0.325,0.1248917310436701,0.03880004080915678,Highly Skewed
south,4,31975,0.2,0.25,0.225,0.1248917310436701,0.03880004080915678,Highly Skewed
south,11,10414,0.55,0.6000000000000001,0.5750000000000001,0.1248917310436701,0.03880004080915678,Highly Skewed
south,2,66639,0.1,0.15000000000000002,0.125,0.1248917310436701,0.03880004080915678,Highly Skewed
south,5,32104,0.25,0.30000000000000004,0.275,0.1248917310436701,0.03880004080915678,Highly Skewed
south,15,4437,0.75,0.8,0.775,0.1248917310436701,0.03880004080915678,Highly Skewed
south,14,5729,0.7000000000000001,0.75,0.7250000000000001,0.1248917310436701,0.03880004080915678,Highly Skewed
south,18,3951,0.9,0.9500000000000001,0.925,0.1248917310436701,0.03880004080915678,Highly Skewed
south,17,3265,0.8500000000000001,0.9,0.875,0.1248917310436701,0.03880004080915678,Highly Skewed
south,13,6226,0.65,0.7000000000000001,0.675,0.1248917310436701,0.03880004080915678,Highly Skewed
south,7,9338,0.35000000000000003,0.4,0.375,0.1248917310436701,0.03880004080915678,Highly Skewed
south,16,3863,0.8,0.8500000000000001,0.8250000000000001,0.1248917310436701,0.03880004080915678,Highly Skewed
west,4,6591,0.2,0.25,0.225,0.18905307471923605,0.06378824793210347,Highly Skewed
west,0,226129,0,0.05,0.025,0.18905307471923605,0.06378824793210347,Highly Skewed
west,1,136872,0.05,0.1,0.07500000000000001,0.18905307471923605,0.06378824793210347,Highly Skewed
west,2,69191,0.1,0.15000000000000002,0.125,0.18905307471923605,0.06378824793210347,Highly Skewed
west,7,11693,0.35000000000000003,0.4,0.375,0.18905307471923605,0.06378824793210347,Highly Skewed
west,5,7294,0.25,0.30000000000000004,0.275,0.18905307471923605,0.06378824793210347,Highly Skewed
west,10,5516,0.5,0.55,0.525,0.18905307471923605,0.06378824793210347,Highly Skewed
