simulation,location,sample_fraction,effective_surveillance_coverage_percent
81,West,Liquid,47.4712669072519
82,North,Total,71.81378531766582
82,North,Solids,32.54739434724419
82,North,Liquid,38.775548587041804
82,South,Total,81.73791136331644
82,South,Solids,38.158461983238766
82,South,Liquid,40.81039965599919
82,West,Total,77.20732026959529
82,West,Solids,35.23924293862496
82,West,Liquid,40.94917009066493
83,North,Total,85.2815979216836
83,North,Solids,30.390841243321404
83,North,Liquid,56.34179020877905
83,South,Total,91.27046680227423
83,South,Solids,35.28227787948913
83,South,Liquid,56.69582269072967
83,West,Total,88.11922691358536
83,West,Solids,32.78460714509768
83,West,Liquid,56.41008165306967
84,North,Total,80.02091425891435
84,North,Solids,31.899627588139364
84,North,Liquid,49.236048143764464
84,South,Total,87.15063826051866
84,South,Solids,37.173585685905586
84,South,Liquid,50.290387628333434
84,West,Total,83.70180522355041
84,West,Solids,34.389009278229196
84,West,Liquid,50.10026525700736
85,North,Total,79.85286563177083
85,North,Solids,39.84487461289724
85,North,Liquid,40.45452604267109
85,South,Total,87.55197645206304
85,South,Solids,46.60166060742467
85,South,Liquid,41.12531668480657
85,West,Total,83.79796488027915
85,West,Solids,43.152870402686084
85,West,Liquid,40.96913858180812
86,North,Total,78.8719911878226
86,North,Solids,42.40768543653663
86,North,Liquid,37.36849611804718
86,South,Total,87.25869935436383
86,South,Solids,49.733649924595845
86,South,Liquid,37.90640869589363
86,West,Total,83.07168117342721
86,West,Solids,46.04808920404309
86,West,Liquid,37.67214987847567
87,North,Total,80.30292889342392
87,North,Solids,30.573155254532665
87,North,Liquid,55.46659774965593
87,South,Total,88.6807519995892
87,South,Solids,35.74947463440331
87,South,Liquid,55.80227890909125
87,West,Total,84.3460840598997
87,West,Solids,33.11392291980848
87,West,Liquid,55.51153531099542
88,North,Total,79.54131542042398
88,North,Solids,38.74644616650287
88,North,Liquid,44.017025972470655
88,South,Total,88.19544569770328
88,South,Solids,45.43141732609511
88,South,Liquid,44.3483369613891
88,West,Total,83.66961385546085
88,West,Solids,41.94539838314923
88,West,Liquid,44.157008696932145
89,North,Total,76.18152426825534
89,North,Solids,28.32061362307266
89,North,Liquid,51.38813908174986
89,South,Total,85.1049437098642
89,South,Solids,33.124166997433186
89,South,Liquid,52.73495071694997
89,West,Total,80.82249085455227
89,West,Solids,30.661483405538608
89,West,Liquid,52.58343913590892
90,North,Total,75.9292456880363
90,North,Solids,42.85807180511681
90,North,Liquid,36.326153252933196
90,South,Total,85.85127494620515
90,South,Solids,50.07040172690925
90,South,Liquid,36.99082233500121
90,West,Total,80.85466853708823
90,West,Solids,46.354515133732875
90,West,Liquid,36.86846338188886
91,North,Total,82.03007344962869
91,North,Solids,39.981690488367136
91,North,Liquid,43.804076180756745
91,South,Total,89.41799378256275
91,South,Solids,46.226493123267005
91,South,Liquid,44.078913851750436
91,West,Total,85.47852784597619
91,West,Solids,42.96678151387095
91,West,Liquid,43.834896986161866
92,North,Total,78.96156682311133
92,North,Solids,33.692719028725584
92,North,Liquid,50.79876694341409
92,South,Total,87.9716098829361
92,South,Solids,39.14680183562609
92,South,Liquid,51.31113286119078
92,West,Total,83.38730808027186
92,West,Solids,36.37422465920596
92,West,Liquid,51.042380861990765
93,North,Total,72.37221219402204
93,North,Solids,32.73383530355517
93,North,Liquid,39.56617807625438
93,South,Total,79.94139841102587
93,South,Solids,38.00739185375776
93,South,Liquid,41.57413438130604
93,West,Total,77.10839261198117
93,West,Solids,35.309473037255735
93,West,Liquid,41.65636177144466
94,North,Total,81.81530023052788
94,North,Solids,36.90077570124277
94,North,Liquid,46.90466939983898
94,South,Total,89.53939370920494
94,South,Solids,43.379313987987
94,South,Liquid,47.163460422887546
94,West,Total,85.41274016494299
94,West,Solids,39.959691399434234
94,West,Liquid,46.96730483029844
95,North,Total,79.43139823944617
95,North,Solids,29.687526797272106
