wwtp,particle_class,hydraulic_level,bin_left_proportion,bin_right_proportion,bin_mid_proportion,observation_count
west,7,Pipe,0.6000000000000001,0.65,0.625,794
west,4,Pipe,0.65,0.7000000000000001,0.675,2770
west,4,Pipe,0.55,0.6000000000000001,0.5750000000000001,2331
west,6,Pipe,0.55,0.6000000000000001,0.5750000000000001,1377
west,5,Pipe,0.2,0.25,0.225,1904
west,8,Pipe,0.1,0.15000000000000002,0.125,213
west,6,Pipe,0.2,0.25,0.225,1023
south,1,Pipe,0.9,0.95,0.925,2127
south,7,Pipe,0.65,0.7000000000000001,0.675,2052
south,8,Pipe,0.35000000000000003,0.4,0.375,1126
west,7,Pipe,0.75,0.8,0.775,1158
south,8,Pipe,0.55,0.6000000000000001,0.5750000000000001,965
west,7,Pipe,0.25,0.30000000000000004,0.275,620
west,7,Pipe,0.65,0.7000000000000001,0.675,958
west,8,Pipe,0.45,0.5,0.475,501
west,6,Pipe,0.1,0.15000000000000002,0.125,1166
south,8,Pipe,0.15000000000000002,0.2,0.17500000000000002,781
south,7,Pipe,0.4,0.45,0.425,1470
south,8,Pipe,0.75,0.8,0.775,2330
west,7,Pipe,0.05,0.1,0.07500000000000001,316
south,1,Pipe,0.75,0.8,0.775,1286
south,8,Pipe,0.05,0.1,0.07500000000000001,630
west,8,Pipe,0.15000000000000002,0.2,0.17500000000000002,203
west,8,Pipe,0.6000000000000001,0.65,0.625,830
west,7,Pipe,0.35000000000000003,0.4,0.375,683
west,7,Pipe,0.4,0.45,0.425,680
west,8,Pipe,0.5,0.55,0.525,598
south,8,Pipe,0.6000000000000001,0.65,0.625,1240
west,8,Pipe,0.05,0.1,0.07500000000000001,286
west,8,Pipe,0.4,0.45,0.425,256
west,8,Pipe,0.30000000000000004,0.35000000000000003,0.325,242
west,7,Pipe,0.1,0.15000000000000002,0.125,527
west,8,Pipe,0.25,0.30000000000000004,0.275,222
west,8,Pipe,0.2,0.25,0.225,212
north,1,Flow path,0.05,0.1,0.07500000000000001,199764
north,2,Flow path,0.7000000000000001,0.75,0.7250000000000001,61292
north,3,Flow path,0.95,1,0.975,1511860
north,4,Flow path,0.95,1,0.975,2565578
north,5,Flow path,0.95,1,0.975,3386990
north,6,Flow path,0.95,1,0.975,3837664
north,7,Flow path,0.95,1,0.975,4184351
north,8,Flow path,0.95,1,0.975,4186000
north,1,Flow path,0,0.05,0.025,3117892
