simulation,location,sample_fraction,minimum_detectable_prevalence_percent
67,West,Solids,0.13151327614147693
67,West,Liquid,0.1117495713913482
68,North,Total,0.0708148547066969
68,North,Solids,0.1195717791572167
68,North,Liquid,0.16990098941218956
68,South,Total,0.06189210875713893
68,South,Solids,0.09749646681343593
68,South,Liquid,0.16795150292286495
68,West,Total,0.06256062541762435
68,West,Solids,0.09990169449356379
68,West,Liquid,0.16636504439820438
69,North,Total,0.07083779065363657
69,North,Solids,0.12449619276926771
69,North,Liquid,0.155949174882016
69,South,Total,0.06204751720534753
69,South,Solids,0.1025644753151544
69,South,Liquid,0.15370660485054272
69,West,Total,0.06262270309136132
69,West,Solids,0.1049092327662881
69,West,Liquid,0.15174848947299313
70,North,Total,0.07004020879615493
70,North,Solids,0.13442638188103317
70,North,Liquid,0.13665199969770095
70,South,Total,0.06167341415920434
70,South,Solids,0.11057755615814645
70,South,Liquid,0.13524672657501827
70,West,Total,0.06218413662046635
70,West,Solids,0.1129301073813105
70,West,Liquid,0.13403294591795226
71,North,Total,0.06794305003598604
71,North,Solids,0.20614882377287144
71,North,Liquid,0.09994997210589565
71,South,Total,0.061977358614875334
71,South,Solids,0.17151484047859153
71,South,Liquid,0.09685225655510797
71,West,Total,0.06141460288689237
71,West,Solids,0.17546502714646453
71,West,Liquid,0.0938856400318823
72,North,Total,0.0699317956606331
72,North,Solids,0.14825357403459943
72,North,Liquid,0.12013424346421574
72,South,Total,0.06179245425482336
72,South,Solids,0.12439778249873927
72,South,Liquid,0.11815189409452687
72,West,Total,0.06228111091126766
72,West,Solids,0.12692956090392807
72,West,Liquid,0.11635019867167655
73,North,Total,0.07339065499022662
73,North,Solids,0.19919695230843296
73,North,Liquid,0.10875326269747009
73,South,Total,0.0638854447842607
73,South,Solids,0.16562959014244985
73,South,Liquid,0.10406536800535453
73,West,Total,0.06389244178609417
73,West,Solids,0.16897878865875232
73,West,Liquid,0.09957199654308424
74,North,Total,0.06957256314218874
74,North,Solids,0.14123350005794766
74,North,Liquid,0.13396199373561446
74,South,Total,0.06208522297123547
74,South,Solids,0.11717101274700444
74,South,Liquid,0.13103281483441584
74,West,Total,0.06211556994716417
74,West,Solids,0.11943805115414957
74,West,Liquid,0.12825129675996141
75,North,Total,0.07206740428939405
75,North,Solids,0.12307501029548325
75,North,Liquid,0.16920918609736946
75,South,Total,0.06258694547233083
75,South,Solids,0.09952256941432988
75,South,Liquid,0.1667977614226004
75,West,Total,0.0631887499624483
75,West,Solids,0.10203669092636485
75,West,Liquid,0.16462557368960518
76,North,Total,0.06501013841190158
76,North,Solids,0.1587961543723158
76,North,Liquid,0.10895752842785811
76,South,Total,0.05973924842284891
76,South,Solids,0.13313523214028508
76,South,Liquid,0.10787973249028984
